Region,Lat,Lon
Timor-Leste,-8.809894631,125.9502405
Togo,8.660743038,0.899085757
Tonga,-21.15927213,-175.2041588
Trinidad and Tobago,10.41551564,-61.3723658
Tunisia,34.0863618,9.655875517
Turkey,38.93207363,35.56886764
Turkmenistan,39.06069118,58.45773576
Tuvalu,-8.514701506,179.217834
Uganda,1.282172922,32.34371768
Ukraine,48.65753252,31.27377208
United Arab Emirates,24.18250292,54.27920526
United Kingdom,55.3781,-3.436
United States,37.0902,-95.7129
Uruguay,-32.78195044,-56.01919523
Uzbekistan,41.48790652,63.85482976
Vanuatu,-15.18913212,166.8491274
Vatican City,41.90402351,12.45131292
Venezuela,7.148324761,-66.36492136
Vietnam,16.51734717,105.9133883
Yemen,16.00139262,47.46815793
Zambia,-13.16283295,27.75521363
Zimbabwe,-18.92700122,29.71782964
